Año;Energia;Glifo;Energia;Glifo
1900;4;Tijax;4;Iq'
1901;5;Aq'ab'al;5;Keej
1902;6;Q'anil;6;E
1903;7;Aj;7;No'j
1904;8;Tijax;9;Aq'ab'al
1905;10;K'at;10;Q'anil
1906;11;Toj;11;Aj
1907;12;I'x;12;Tijax
1908;13;Kawoq;1;K'at
1909;2;Kan ;2;Toj
1910;3;Tz'i';3;I'x
1911;4;Tz'ikin;4;Kawoq
1912;5;Ajpu;6;Kan
1913;7;Keme;7;Tz'i'
1914;8;B'atz';8;Tz'ik'in
1915;9;Ajmaq;9;Ajpu
1916;10;Imox;11;Keme
1917;12;Keej;12;B'atz'
1918;13;E;13;Ajmaq
1919;1;No'j;1;Imox
1920;2;Iq';3;Keej
1921;4;Q'anil;4;E
1922;5;Aj;5;N'oj
1923;6;Tijax;6;Iq'
1924;7;Aq'ab'al;8;Q'anil
1925;9;Toj;9;Aj
1926;10;I'x;10;
1927;11;Kawoq;11;
1928;12;Kat;13;
1929;1;Tz'i';1;
1930;2;Tz'k'in;2;
1931;3;Ajpu;3;
1932;4;Kan ;5;
1933;6;Batz';6;
1934;7;Ajmaq;7;
1935;8;Imox;8;
1936;9;Keme;10;
1937;11;E;11;
1938;12;No'j;12;
1939;13;Iq';13;
1940;1;Keej;2;
1941;3;Aj;3;
1942;4;Tijax;4;
1943;5;Aq'ab'al;5;
1944;6;Q'anil;7;
1945;8;I'x;8;
1946;9;Kawoq;9;
1947;10;K'at;10;
1948;11;Toj;12;
1949;13;Tz'ik'in;13;
1950;1;Ajpu;1;
1951;2;Kan;2;Toj
1952;3;Tz'i;4;Tz'ikin
1953;5;Ajmaq;5;Ajpu
1954;6;Imox;6;Kan
1955;7;Keme;7;Tz'i'
1956;8;B'atz';9;Ajmaq
1957;10;No'j;10;Imox
1958;11;Iq';11;Keme
1959;12;Keej;12;B'atz'
1960;13;E;1;No'j
1961;2;Tijax;2;Iq'
1962;3;Aq'ab'al;3;Keej
1963;4;Q'anil;4;E
1964;5;Aj;6;Tijax
1965;7;Kawoq;7;Aq'ab'al
1966;8;K'at;8;Q'anil
1967;9;Toj;9;Aj
1968;10;I'x;11;Kawoq
1969;12;Ajpu;12;K'at
1970;13;Kan;13;Toj
1971;1;Tz'i;1;I'x
1972;2;Tz'ik'in;3;Ajpu
1973;4;Imox;4;Kan
1974;5;Keme;5;Tz'i'
1975;6;B'atz';6;Tz'ik'in
1976;7;Ajmaq;8;Imox
1977;9;Iq';9;Keme
1978;10;Keej;10;B'atz'
1979;11;E;11;Ajmaq
1980;12;No'j;13;Iq'
1981;1;Aq'ab'al;1;Keej
1982;2;Q'anil;2;E
1983;3;Aj;3;No'j
1984;4;Tijax;5;Aq'ab'al
1985;6;K'at;6;Q'anil
1986;7;Toj;7;Aj
1987;8;I'x;8;Tijax
1988;9;Kawoq;10;K'at
1989;11;Kan;11;Toj
1990;12;Tz'i;12;I'x
1991;13;Tz'ik'in;13;Kawoq
1992;1;Ajpu;2;Kan
1993;3;Keme;3;Tz'i'
1994;4;B'atz';4;Tz'ik'in
1995;5;Ajmaq;5;Ajpu
1996;6;Imox;7;Keme
1997;8;Keej;8;B'atz'
1998;9;E;9;Ajmaq
1999;10;No'j;10;Imox
2000;11;Iq';12;Keej
2001;13;Q'anil;13;E
2002;1;Aj;1;
2003;2;Tijax;2;
2004;3;Aq'ab'al;4;
2005;5;Toj;5;
2006;6;I'x;6;
2007;7;Kawoq;7;
2008;8;K'at;9;
2009;10;Tz'i';10;
2010;11;Tz'ik'in;11;
2011;12;Ajpu;12;
2012;13;Kan;1;
2013;2;B'atz';2;
2014;3;Ajmaq;3;
2015;4;Imox;4;
2016;5;Keme;6;
2017;7;E;7;
2018;8;No'j;8;
2019;9;Iq';9;
2020;10;Keej;11;
2021;12;Aj;12;
2022;13;Tijax;13;
2023;1;Aq'ab'al;1;
2024;2;Q'anil;3;
2025;4;I'x;4;
